name	element	base_type	base_c	re_atom_energy	binding_energy	base_energy	o	h	c	n	f	s	co2	cho	co	cooh	n2	n2h	no	noh	oh	h2o
3_1_la	la	1	-598.36223	-0.64194	-11.01026	-610.01443	-618.32746	-613.96994	-616.46695	-617.90415	-614.43251	-615.13113	-633.22737	-627.52868	-625.46215	-634.89501	-626.77967	-629.18864	-624.14848	-627.74431	-620.78137	-624.46239
3_1_ce	ce	1	-598.36223	-1.30376	-10.56329	-610.22928	-618.60427	-614.25669	-617.0837135	-618.2813687	-614.7675724	-615.4633102	-633.42749	-627.6011499	-626.445012	-635.1367184	-627.2416307	-629.5081651	-624.3981574	-628.3017972	-621.224011	-624.9141505
3_1_pr	pr	1	-598.36223	-2.79068	-9.73905	-610.89196	-619.24811	-614.8651309	-617.14584	-618.9926028	-615.5846132	-616.0879479	-634.0691438	-628.01398	-626.993576	-635.7821431	-627.7359926	-629.5937637	-625.3451456	-629.0560516	-622.088498	-625.7712776
3-1-nd	nd	1	-598.36223	-4.42155	-9.11684	-611.90062	-620.35712	-615.8605325	-618.4576657	-620.02597	-616.7386438	-617.0956886	-635.0169778	-629.4654174	-627.4671	-636.8087422	-628.70464	-630.1728895	-626.5628243	-630.1733845	-623.2564325	-626.9420656
3-1-sm	sm	1	-598.36223	-8.6783	-7.44143	-614.48196	-623.08705	-618.3624479	-620.6653516	-623.1633729	-619.7388	-619.6365014	-637.3856697	-632.2882123	-630.264307	-639.26869	-631.0947043	-631.5558232	-629.6756161	-632.9963711	-626.2321764	-629.9258939
3-11eu	eu	1	-598.36223	-8.39244	-6.98076	-613.73543	-621.97119	-617.5352745	-619.7863418	-622.0693726	-618.9123226	-618.7716299	-636.4796813	-631.4691123	-629.3797592	-638.5369783	-630.41719	-630.4261997	-629.0617463	-632.1666253	-625.5449137	-629.2191275
3-1-gd	gd	1	-598.36223	-10.37866	-9.88834	-618.62923	-627.34505	-622.3323629	-624.8884133	-628.1894602	-623.2560878	-624.09357	-641.4941559	-636.1884288	-634.2921557	-643.5090744	-636.0376245	-637.17326	-632.4352584	-636.7602705	-629.3906434	-633.33841
3-1-tb	tb	1	-598.36223	-8.57675	-8.81739	-615.75637	-625.20385	-619.9791149	-622.3187217	-625.1800471	-620.9182069	-621.1968625	-639.40476	-633.6910682	-632.26708	-640.9421148	-633.1895116	-633.9430073	-630.5479562	-634.424858	-627.3002845	-631.0377634
3-1-dy	dy	1	-598.36223	-7.25458	-8.74051	-614.35732	-623.34519	-618.4207353	-620.8585858	-623.3017154	-619.4066843	-619.6711355	-637.5415895	-632.73181	-630.4067447	-639.4077313	-631.4651232	-632.4159582	-629.1452218	-632.7076	-625.8541429	-629.5704761
3-1-ho	ho	1	-598.36223	-6.05906	-8.36438	-612.78567	-620.29933	-616.3806423	-618.8597423	-620.6588106	-617.4424167	-617.6288757	-635.3471954	-630.1142242	-628.78075	-637.3511492	-628.9476395	-630.0990579	-627.3484619	-630.7250831	-624.068	-627.6880296
3-1-er	er	1	-598.36223	-5.17143	-6.52656	-610.06022	-620.0361	-614.7645268	-616.8940377	-618.7067374	-616.0028188	-615.7492474	-633.8281876	-628.443611	-626.753462	-635.531838	-627.0089683	-627.5563455	-626.5454851	-629.408372	-622.8772417	-626.4039457
3-1-tm	tm	1	-598.36223	-4.35124	-6.7716	-609.48507	-618.85858	-613.9966514	-616.1951941	-617.7284494	-615.1815785	-614.9889666	-633.0225035	-627.6349394	-625.9668169	-634.7569415	-626.78272	-626.9180176	-625.7018287	-628.5446264	-622.0500329	-625.587723
3-1-yb	yb	1	-598	-0.03756	-6.24	-604.637	-613.24558	-609.1503339	-611.6129978	-611.6923994	-610.214992	-609.8315436	-628.134881	-622.5166756	-621.2017621	-629.6187151	-620.3158445	-621.5252542	-621.1096941	-623.5281645	-617.4107088	-620.7948784
3-1-lu	lu	1	-598.36223	-0.18616	-10.04083	-608.58922	-617.83561	-613.02836	-615.7798065	-616.8128643	-613.5692573	-614.1395944	-632.354803	-626.3202268	-625.295333	-633.8290226	-625.8796177	-628.0710363	-623.63121	-627.1575076	-620.1656012	-623.7781961
3_2_la	la	2	-596.80908	-0.64194	-12.28502	-609.73604	-617.99668	-614.2131002	-618.85412	-618.2411439	-614.0300326	-614.8359078	-633.3903534	-626.9751072	-626.6010703	-634.7906166	-625.9620239	-628.6861478	-622.865803	-627.43734	-620.4310149	-624.1366738
3_2_ce	ce	2	-596.80908	-1.30376	-11.84098	-609.95382	-618.06666	-614.3656984	-618.7589524	-618.25722	-614.2867329	-614.9898482	-633.49307	-627.193309	-626.7060421	-634.9536521	-626.0091112	-628.5445684	-623.2000306	-628.0337826	-620.79427	-624.4200685
3_2_pr	pr	2	-596.80908	-2.79068	-11.035	-610.63476	-618.97708	-615.0884233	-619.3535984	-619.2555792	-615.20524	-615.7162455	-634.1820432	-628.0448343	-627.3850433	-635.7033783	-626.6600726	-628.7675056	-624.2451709	-628.9135369	-621.682324	-625.3711987
